Region,IPF,Mesothelioma,Asbestosis
North West,1.3(1.26-1.35),0.99(0.95-1.03),2.28(1.89-2.74)
Wales,1.28(1.23-1.33),0.61(0.58-0.65),1.09(0.84-1.4)
North East,1.24(1.19-1.29),1.71(1.64-1.79),5.7(4.74-6.86)
West Midlands,1.2(1.16-1.24),0.76(0.73-0.8),1.19 (0.95-1.48)
East Midlands,1.16(1.12-1.21),0.78(0.75-0.82),1.4 (1.12-1.74)
Yorkshire and the Humber,1.11(1.07-1.15),1.1(1.06-1.15),1.62(1.32-1.98)
South West,1.1(1.06-1.13),0.87(0.83-0.9),1.81(1.49-2.2)
London,1.01(0.97-1.05),1(0.96-1.04),2.15(1.77-2.6)
South East,0.9(0.87-0.93),0.95(0.92-1.31),1.31(1.09-1.59)
East,1,1,1
